GameDate,Avg_Pace,Pace_Diff,OffRating_Diff,DefRating_Diff,NetRating_Diff,Rest_Days_Diff,BackToBack_Sum,Avg_Rolling_Pace_5g,Pace_Diff_Rolling_5g,Rolling_OffRating_Diff_5g,Rolling_DefRating_Diff_5g,Avg_Rolling_Pace_7g,Pace_Diff_Rolling_7g,Rolling_OffRating_Diff_7g,Rolling_DefRating_Diff_7g,Avg_Rolling_Pace_10g,Pace_Diff_Rolling_10g,Rolling_OffRating_Diff_10g,Rolling_DefRating_Diff_10g,TotalPoints,HomeTeam_Atlanta Hawks,HomeTeam_Boston Celtics,HomeTeam_Brooklyn Nets,HomeTeam_Charlotte Hornets,HomeTeam_Chicago Bulls,HomeTeam_Cleveland Cavaliers,HomeTeam_Dallas Mavericks,HomeTeam_Denver Nuggets,HomeTeam_Detroit Pistons,HomeTeam_Golden State Warriors,HomeTeam_Houston Rockets,HomeTeam_Indiana Pacers,HomeTeam_LA Clippers,HomeTeam_Los Angeles Lakers,HomeTeam_Memphis Grizzlies,HomeTeam_Miami Heat,HomeTeam_Milwaukee Bucks,HomeTeam_Minnesota Timberwolves,HomeTeam_New Orleans Pelicans,HomeTeam_New York Knicks,HomeTeam_Oklahoma City Thunder,HomeTeam_Orlando Magic,HomeTeam_Philadelphia 76ers,HomeTeam_Phoenix Suns,HomeTeam_Portland Trail Blazers,HomeTeam_Sacramento Kings,HomeTeam_San Antonio Spurs,HomeTeam_Toronto Raptors,HomeTeam_Utah Jazz,HomeTeam_Washington Wizards,AwayTeam_Atlanta Hawks,AwayTeam_Boston Celtics,AwayTeam_Brooklyn Nets,AwayTeam_Charlotte Hornets,AwayTeam_Chicago Bulls,AwayTeam_Cleveland Cavaliers,AwayTeam_Dallas Mavericks,AwayTeam_Denver Nuggets,AwayTeam_Detroit Pistons,AwayTeam_Golden State Warriors,AwayTeam_Houston Rockets,AwayTeam_Indiana Pacers,AwayTeam_LA Clippers,AwayTeam_Los Angeles Lakers,AwayTeam_Memphis Grizzlies,AwayTeam_Miami Heat,AwayTeam_Milwaukee Bucks,AwayTeam_Minnesota Timberwolves,AwayTeam_New Orleans Pelicans,AwayTeam_New York Knicks,AwayTeam_Oklahoma City Thunder,AwayTeam_Orlando Magic,AwayTeam_Philadelphia 76ers,AwayTeam_Phoenix Suns,AwayTeam_Portland Trail Blazers,AwayTeam_Sacramento Kings,AwayTeam_San Antonio Spurs,AwayTeam_Toronto Raptors,AwayTeam_Utah Jazz,AwayTeam_Washington Wizards
2021-03-11,101.44999999999999,-0.7000000000000028,3.6000000000000085,0.8999999999999915,-6.9,0.0,0,101.44999999999999,-0.7000000000000028,3.6000000000000085,0.8999999999999915,101.44999999999999,-0.7000000000000028,3.6000000000000085,0.8999999999999915,101.44999999999999,-0.7000000000000028,3.6000000000000085,0.8999999999999915,232,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-12,104.1,4.6000000000000085,3.8000000000000114,0.29999999999999716,-7.4,1.0,1,104.1,4.6000000000000085,3.8000000000000114,0.29999999999999716,104.1,4.6000000000000085,3.8000000000000114,0.29999999999999716,104.1,4.6000000000000085,3.8000000000000114,0.29999999999999716,228,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-21,100.0,-3.5999999999999943,3.1000000000000085,5.099999999999994,-3.2,2.0,1,100.0,-3.5999999999999943,3.1000000000000085,5.099999999999994,100.0,-3.5999999999999943,3.1000000000000085,5.099999999999994,100.0,-3.5999999999999943,3.1000000000000085,5.099999999999994,201,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-23,103.1,2.6000000000000085,3.700000000000003,3.0999999999999943,-4.6,1.0,0,103.1,2.6000000000000085,3.700000000000003,3.0999999999999943,103.1,2.6000000000000085,3.700000000000003,3.0999999999999943,103.1,2.6000000000000085,3.700000000000003,3.0999999999999943,206,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-25,101.3,-1.0,2.4000000000000057,6.0,-3.0,0.0,0,101.3,-1.0,2.4000000000000057,6.0,101.3,-1.0,2.4000000000000057,6.0,101.3,-1.0,2.4000000000000057,6.0,210,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-27,100.44999999999999,-2.700000000000003,10.100000000000009,2.0999999999999943,0.8999999999999995,0.0,0,100.44999999999999,-2.700000000000003,10.100000000000009,2.0999999999999943,100.44999999999999,-2.700000000000003,10.100000000000009,2.0999999999999943,100.44999999999999,-2.700000000000003,10.100000000000009,2.0999999999999943,234,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-03-30,100.55,-2.5,9.100000000000009,0.7999999999999972,-1.5,-1.0,0,100.55,-2.5,9.100000000000009,0.7999999999999972,100.55,-2.5,9.100000000000009,0.7999999999999972,100.55,-2.5,9.100000000000009,0.7999999999999972,199,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-04-01,100.69999999999999,-2.200000000000003,-2.0,-1.2999999999999972,-14.600000000000001,1.0,0,100.69999999999999,-2.200000000000003,-2.0,-1.2999999999999972,100.69999999999999,-2.200000000000003,-2.0,-1.2999999999999972,100.69999999999999,-2.200000000000003,-2.0,-1.2999999999999972,208,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-04-06,101.25,-1.0999999999999943,5.900000000000006,0.7999999999999972,-4.8,0.0,0,101.25,-1.0999999999999943,5.900000000000006,0.7999999999999972,101.25,-1.0999999999999943,5.900000000000006,0.7999999999999972,101.25,-1.0999999999999943,5.900000000000006,0.7999999999999972,202,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-04-09,102.05,0.5,5.700000000000003,-0.7999999999999972,-6.4,-1.0,0,102.05,0.5,5.700000000000003,-0.7999999999999972,102.05,0.5,5.700000000000003,-0.7999999999999972,102.05,0.5,5.700000000000003,-0.7999999999999972,195,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
